Car_id,Publish_period,End_Date,Departure_Date,Distance_travelled,Color,N_Photos,Price,N_Inquires,is_sold
XL3-1212601,7,1.33E+18,1.33E+18,48525,White,27,70000,24,1
XL3-1006984,0,1.33E+18,1.34E+18,40407,Black,28,110000,17,0
XL3-1006984,39,1.33E+18,1.34E+18,40407,Black,28,80000,17,1
XL3-1525528,4,1.33E+18,1.34E+18,41985,White,28,90000,32,0
XL3-1525528,13,1.33E+18,1.34E+18,41985,White,28,70000,32,1
XL3-1551408,8,1.33E+18,1.34E+18,48223,White,28,110000,46,0
XL3-1551408,18,1.33E+18,1.34E+18,48223,White,28,100000,46,1
XL3-1504588,17,1.33E+18,1.34E+18,53674,Black,28,110000,24,0
XL3-1504588,31,1.33E+18,1.34E+18,53674,Black,28,65000,24,1
XL3-1031513,0,1.33E+18,1.34E+18,49937,Black,28,110000,22,0
XL3-1031513,31,1.33E+18,1.34E+18,49937,Black,28,80000,22,1
XL3-1018235,9,1.33E+18,1.33E+18,32241,White,29,110000,43,0
XL3-1018235,12,1.33E+18,1.33E+18,32241,White,29,75000,43,1
XL3-1557852,18,1.33E+18,1.34E+18,47939,Black,29,110000,56,0
XL3-1557852,36,1.33E+18,1.34E+18,47939,Black,29,40000,56,1
XL3-1004789,8,1.33E+18,1.34E+18,38820,White,28,90000,76,0
XL3-1004789,15,1.33E+18,1.34E+18,38820,White,28,60000,76,1
XL3-1568046,2,1.33E+18,1.34E+18,51076,White,28,110000,25,0
XL3-1568046,12,1.33E+18,1.34E+18,51076,White,28,70000,25,1
XL3-1274939,25,1.33E+18,1.34E+18,59627,Silver,28,110000,8,0
XL3-1274939,4,1.33E+18,1.34E+18,59627,Silver,28,90000,8,1
XL3-1117527,7,1.33E+18,1.34E+18,31593,Silver,28,110000,34,0
XL3-1117527,31,1.33E+18,1.34E+18,31593,Silver,28,65000,34,1
XL3-1538616,7,1.33E+18,1.34E+18,60927,Black,27,110000,13,0
XL3-1538616,38,1.33E+18,1.34E+18,60927,Black,27,60000,13,1
XL3-1551578,26,1.33E+18,1.34E+18,23335,Silver,28,110000,63,0
XL3-1551578,9,1.33E+18,1.34E+18,23335,Silver,28,80000,63,1
XL3-1545925,6,1.33E+18,1.34E+18,58975,White,26,90000,60,0
XL3-1545925,10,1.33E+18,1.34E+18,58975,White,26,70000,60,1
XL3-1046780,0,1.33E+18,1.34E+18,61205,White,28,90000,20,0
XL3-1046780,8,1.33E+18,1.34E+18,61205,White,28,70000,20,1
XL3-1016080,6,1.33E+18,1.34E+18,48350,White,28,110000,26,0
XL3-1016080,17,1.33E+18,1.34E+18,48350,White,28,80000,26,1
XL3-1564718,5,1.33E+18,1.34E+18,54000,White,27,110000,15,0
XL3-1564718,18,1.33E+18,1.34E+18,54000,White,27,70000,15,1
XL3-1108856,14,1.33E+18,1.34E+18,38842,White,28,90000,11,1
XL3-1567013,50,1.33E+18,1.34E+18,30354,Brown,29,90000,31,0
XL3-1567013,4,1.33E+18,1.34E+18,30354,Brown,29,70000,31,1
XL3-1141407,5,1.33E+18,1.34E+18,68851,White,29,90000,8,0
XL3-1141407,4,1.33E+18,1.34E+18,68851,White,29,70000,8,1
XL3-1567365,8,1.33E+18,1.34E+18,57618,Silver,27,90000,46,0
XL3-1567365,21,1.33E+18,1.34E+18,57618,Silver,27,70000,46,1
XL3-1038187,22,1.33E+18,1.34E+18,29384,Silver,28,110000,11,0
XL3-1038187,7,1.33E+18,1.34E+18,29384,Silver,28,75000,11,1
XL3-1529382,29,1.33E+18,1.34E+18,53500,Silver,28,110000,10,0
XL3-1529382,1,1.33E+18,1.34E+18,53500,Silver,28,60000,10,1
XL3-1567483,19,1.33E+18,1.34E+18,73570,White,26,90000,18,0
